Title,Price,Link
Fender Stratocaster electric guitar,$800.00,https://www.kijiji.ca/v-guitar/chatham-kent/fender-stratocaster-electric-guitar/1703367868
Fender Stratocaster USA 1997 on an MJT 1 Piece Ash Nitro Body,$795.00,https://www.kijiji.ca/v-guitar/ottawa/fender-stratocaster-usa-1997-on-an-mjt-1-piece-ash-nitro-body/1703720339
1974 Gibson L5s Custom ,"$8,800.00",https://www.kijiji.ca/v-guitar/london/1974-gibson-l5s-custom/1703274556
Lag Sauvage - Auditorium Cutaway Acoustic-Electric Guitar,"$1,102.00",https://www.kijiji.ca/v-guitar/kitchener-waterloo/lag-sauvage-auditorium-cutaway-acoustic-electric-guitar/1703970066
Gretsch G5232T Electromatic Double Jet FT with Bigsby-Broadway,"$1,018.00",https://www.kijiji.ca/v-guitar/kitchener-waterloo/gretsch-g5232t-electromatic-double-jet-ft-with-bigsby-broadway/1703969962
Vintage Gibson G3 Pickups in Luthier made Grabber style Bass,Please Contact,https://www.kijiji.ca/v-guitar/owen-sound/vintage-gibson-g3-pickups-in-luthier-made-grabber-style-bass/1702122763
Gretsch G9201 Honey Dipper Brass Body Resonator Guitar,"$1,018.00",https://www.kijiji.ca/v-guitar/kitchener-waterloo/gretsch-g9201-honey-dipper-brass-body-resonator-guitar/1703969858
Ovation electro acoustic guitar CS24P-FMYR,$899.00,https://www.kijiji.ca/v-guitar/kitchener-waterloo/ovation-electro-acoustic-guitar-cs24p-fmyr/1703969681
Vintage Acoustic Guitar,$400.00,https://www.kijiji.ca/v-guitar/sudbury/vintage-acoustic-guitar/1703969520
Lag Wings of Metal Auditorium Acoustic Guitar,$889.00,https://www.kijiji.ca/v-guitar/kitchener-waterloo/lag-wings-of-metal-auditorium-acoustic-guitar/1703969510
Babicz Steven Wilson Signature Acoustic Electric Guitar,"$4,000.00",https://www.kijiji.ca/v-guitar/kitchener-waterloo/babicz-steven-wilson-signature-acoustic-electric-guitar/1703969426
musical instruments ,Please Contact,https://www.kijiji.ca/v-guitar/kawartha-lakes/musical-instruments/1703969372
Taylor GS mini Mahogany with Gig bag,$850.00,https://www.kijiji.ca/v-guitar/city-of-toronto/taylor-gs-mini-mahogany-with-gig-bag/1703969228
2005 Ibanez BTB 6 string bass,$900.00,https://www.kijiji.ca/v-guitar/kitchener-waterloo/2005-ibanez-btb-6-string-bass/1703968828
2022 Eric Clapton Signature Series Fender Stratocaster,"$2,800.00",https://www.kijiji.ca/v-guitar/london/2022-eric-clapton-signature-series-fender-stratocaster/1703968804
Cole Clark AN2EC-BLBL Acoustic/Electric Guitar,"$3,400.00",https://www.kijiji.ca/v-guitar/kitchener-waterloo/cole-clark-an2ec-blbl-acoustic-electric-guitar/1703968754
Gretsch G2210 Streamliner Junior Jet Club-Imperial Stain,$503.00,https://www.kijiji.ca/v-guitar/hamilton/gretsch-g2210-streamliner-junior-jet-club-imperial-stain/1703968511
Guild Polara Solid Body Electric Guitar. Phantom Green,$789.00,https://www.kijiji.ca/v-guitar/hamilton/guild-polara-solid-body-electric-guitar-phantom-green/1703968266
Guild Polara Solid Body Electric Guitar. Blue Steel,$789.00,https://www.kijiji.ca/v-guitar/hamilton/guild-polara-solid-body-electric-guitar-blue-steel/1703967734
Guild Starfire I Bass Vintage Walnut,$975.00,https://www.kijiji.ca/v-guitar/hamilton/guild-starfire-i-bass-vintage-walnut/1703967665
Guild Jumbo Junior Acoustic Bass with built in Fishman pickup.,$789.00,https://www.kijiji.ca/v-guitar/hamilton/guild-jumbo-junior-acoustic-bass-with-built-in-fishman-pickup/1703967453
Yamaha FG 700ms acoustic guitar,$150.00,https://www.kijiji.ca/v-guitar/hamilton/yamaha-fg-700ms-acoustic-guitar/1703967294
Trade for an acoustic guitar (Read description),Swap/Trade,https://www.kijiji.ca/v-guitar/oshawa-durham-region/trade-for-an-acoustic-guitar-read-description/1703967034
Fender Fat Stratocaster made in Mexico 1999,$800.00,https://www.kijiji.ca/v-guitar/ottawa/fender-fat-stratocaster-made-in-mexico-1999/1696148048
Yamaha ERG121C-PF Guitar-Estate Sale,$80.00,https://www.kijiji.ca/v-guitar/ottawa/yamaha-erg121c-pf-guitar-estate-sale/1703966690
Vantage 728GDT Guitar-For Parts and/or Repair,$80.00,https://www.kijiji.ca/v-guitar/ottawa/vantage-728gdt-guitar-for-parts-and-or-repair/1703966447
Ibanez 7 String,$350.00,https://www.kijiji.ca/v-guitar/muskoka/ibanez-7-string/1703966401
Limited Edition 2014 60th Anniversary Aztec Gold Stratocaster,"$2,400.00",https://www.kijiji.ca/v-guitar/london/limited-edition-2014-60th-anniversary-aztec-gold-stratocaster/1699270610
"2014 Limited Edition 60th anniversary Aztec gold
Stratocaster","$2,400.00",https://www.kijiji.ca/v-guitar/grand-bend/2014-limited-edition-60th-anniversary-aztec-gold-stratocaster/1699268920
The Epiphone full set valve junior & speakers & Pasifika Yamaha,"$1,400.00",https://www.kijiji.ca/v-guitar/london/the-epiphone-full-set-valve-junior-speakers-pasifika-yamaha/1703956860
epiphone Guitar $60,$60.00,https://www.kijiji.ca/v-guitar/city-of-toronto/epiphone-guitar-60/1703965991
2 Acoustic Soundhole Pickups,$50.00,https://www.kijiji.ca/v-guitar/north-bay/2-acoustic-soundhole-pickups/1698837075
Tele guitar,$800.00,https://www.kijiji.ca/v-guitar/hamilton/tele-guitar/1700125018
Cort Guitar + Case + Stand,$300.00,https://www.kijiji.ca/v-guitar/city-of-toronto/cort-guitar-case-stand/1703964674
2011 Gibson Les Paul Studio,"$1,500.00",https://www.kijiji.ca/v-guitar/ottawa/2011-gibson-les-paul-studio/1703964341
Dean HollyWood Cool Guitar ,$599.00,https://www.kijiji.ca/v-guitar/city-of-toronto/dean-hollywood-cool-guitar/1703964205
Epiphone Frontier Masterbilt,$995.00,https://www.kijiji.ca/v-guitar/oakville-halton-region/epiphone-frontier-masterbilt/1703963917
Epiphone Riviera Electric Guitar,$699.00,https://www.kijiji.ca/v-guitar/ottawa/epiphone-riviera-electric-guitar/1702114895
"DIY Guitar Kits, The largest selection of Do it Yourself Guitars",Please Contact,https://www.kijiji.ca/v-guitar/markham-york-region/diy-guitar-kits-the-largest-selection-of-do-it-yourself-guitars/1483566448
1974 Gibson L5s Custom ,"$8,800.00",https://www.kijiji.ca/v-guitar/london/1974-gibson-l5s-custom/1703274556
PRECISION GUITAR WORX,Please Contact,https://www.kijiji.ca/v-guitar/sudbury/precision-guitar-worx/1660305330
Fender Stratocaster electric guitar,$800.00,https://www.kijiji.ca/v-guitar/chatham-kent/fender-stratocaster-electric-guitar/1703367868
Fender Stratocaster USA 1997 on an MJT 1 Piece Ash Nitro Body,$795.00,https://www.kijiji.ca/v-guitar/ottawa/fender-stratocaster-usa-1997-on-an-mjt-1-piece-ash-nitro-body/1703720339
Danny Gatton Guitar Tabs Recorded Version,$15.00,https://www.kijiji.ca/v-guitar/gatineau/danny-gatton-guitar-tabs-recorded-version/1567709379
Guitar cases // Étuis  à guitare,$30.00,https://www.kijiji.ca/v-guitar/gatineau/guitar-cases-etuis-a-guitare/1703956078
Acoustic guitar,$380.00,https://www.kijiji.ca/v-guitar/city-of-toronto/acoustic-guitar/1703961039
Acoustic Guitar ,$250.00,https://www.kijiji.ca/v-guitar/kitchener-waterloo/acoustic-guitar/1703960672
Electric Guitar and Amp,$280.00,https://www.kijiji.ca/v-guitar/kitchener-waterloo/electric-guitar-and-amp/1703960619
jackson monark,$400.00,https://www.kijiji.ca/v-guitar/london/jackson-monark/1703960506
GODIN MULTIAC DUET STEEL STRING GUITAR,"$1,250.00",https://www.kijiji.ca/v-guitar/kitchener-waterloo/godin-multiac-duet-steel-string-guitar/1703959080
Wanted 70s Fender Mustang,Please Contact,https://www.kijiji.ca/v-guitar/hamilton/wanted-70s-fender-mustang/1703959042
"1978 VINTAGE 10"" CTS SPECIAL DESIGN SPEAKER 8 OHM GREEN GOLD",$65.00,https://www.kijiji.ca/v-guitar/chatham-kent/1978-vintage-10-cts-special-design-speaker-8-ohm-green-gold/1691543371
Epiphone The Treasure Joe Bonamassa Signature FireBird 1,Please Contact,https://www.kijiji.ca/v-guitar/gatineau/epiphone-the-treasure-joe-bonamassa-signature-firebird-1/1703958325
COLE CLARK FL 12 STRING GUITAR,"$1,400.00",https://www.kijiji.ca/v-guitar/kitchener-waterloo/cole-clark-fl-12-string-guitar/1703958233
Vintage 1950's Stella Harmony H929 Parlor Guitar,$250.00,https://www.kijiji.ca/v-guitar/oakville-halton-region/vintage-1950s-stella-harmony-h929-parlor-guitar/1703958061
Epiphone Les Paul Studio,$450.00,https://www.kijiji.ca/v-guitar/ottawa/epiphone-les-paul-studio/1699858644
Jackson Mark Morton Dominion Pro,$750.00,https://www.kijiji.ca/v-guitar/ottawa/jackson-mark-morton-dominion-pro/1703956408
Acoustic guitar,$120.00,https://www.kijiji.ca/v-guitar/city-of-toronto/acoustic-guitar/1703956157
Gibson Les Paul Studio 2008,"$1,500.00",https://www.kijiji.ca/v-guitar/muskoka/gibson-les-paul-studio-2008/1703955625
Yamaha Revstar Pro - MIJ - Gold Top P90,"$1,800.00",https://www.kijiji.ca/v-guitar/city-of-toronto/yamaha-revstar-pro-mij-gold-top-p90/1703955561
"Hand made Nuhn J Series Guitar - Sage Green Metallic Relic, P90s","$1,800.00",https://www.kijiji.ca/v-guitar/stratford-on/hand-made-nuhn-j-series-guitar-sage-green-metallic-relic-p90s/1703955104
Boss Chromatic Tuner TU-12H,Please Contact,https://www.kijiji.ca/v-guitar/kingston-on/boss-chromatic-tuner-tu-12h/1703955027
kala ziricote concert ukulele,$400.00,https://www.kijiji.ca/v-guitar/city-of-toronto/kala-ziricote-concert-ukulele/1703954916
2012 Gibson Les Paul Standard in Excellent Condition,"$2,300.00",https://www.kijiji.ca/v-guitar/kitchener-waterloo/2012-gibson-les-paul-standard-in-excellent-condition/1695086125
Squier bullet,$140.00,https://www.kijiji.ca/v-guitar/mississauga-peel-region/squier-bullet/1695772765
Sebring JS 20 Jazz Archtop Guitar,$750.00,https://www.kijiji.ca/v-guitar/barrie/sebring-js-20-jazz-archtop-guitar/1703953740
2013 PRS Custom 24 guitar in rare Livingston Lemon drop,"$4,250.00",https://www.kijiji.ca/v-guitar/oakville-halton-region/2013-prs-custom-24-guitar-in-rare-livingston-lemon-drop/1703953685
Devlin DV-300 Guitar-Estate Sale,$225.00,https://www.kijiji.ca/v-guitar/ottawa/devlin-dv-300-guitar-estate-sale/1703953267
Yamaha F325 acoustic guitar w/stand,$220.00,https://www.kijiji.ca/v-guitar/mississauga-peel-region/yamaha-f325-acoustic-guitar-w-stand/1703952223
Ibanez AX120 Electric Guitar-Estate Sale,$175.00,https://www.kijiji.ca/v-guitar/ottawa/ibanez-ax120-electric-guitar-estate-sale/1703953133
Classic Ibanez DPL 10 PAN DELAY made in Japan ,$150.00,https://www.kijiji.ca/v-guitar/city-of-toronto/classic-ibanez-dpl-10-pan-delay-made-in-japan/1669129280
Yamaha RBX270J Bass guitar-Estate Sale,$275.00,https://www.kijiji.ca/v-guitar/ottawa/yamaha-rbx270j-bass-guitar-estate-sale/1703953025
"GWL Washburn ""Vince Neil'"" Guitar-Estate Sale",$175.00,https://www.kijiji.ca/v-guitar/ottawa/gwl-washburn-vince-neil-guitar-estate-sale/1703952912
Ibanez Rg5170B-BK Prestige MIJ,"$2,450.00",https://www.kijiji.ca/v-guitar/ottawa/ibanez-rg5170b-bk-prestige-mij/1703952903
Squier Strat Guitar-Estate Sale,$275.00,https://www.kijiji.ca/v-guitar/ottawa/squier-strat-guitar-estate-sale/1703952658
Tone King ,"$1,150.00",https://www.kijiji.ca/v-guitar/city-of-toronto/tone-king/1703952633
Espana 335 Style Guitar-Estate Sale,$325.00,https://www.kijiji.ca/v-guitar/ottawa/espana-335-style-guitar-estate-sale/1703952563
"DIY Guitar Kits, The largest selection of Do it Yourself Guitars",Please Contact,https://www.kijiji.ca/v-guitar/markham-york-region/diy-guitar-kits-the-largest-selection-of-do-it-yourself-guitars/1483566448
Epiphone Riviera Electric Guitar,$699.00,https://www.kijiji.ca/v-guitar/ottawa/epiphone-riviera-electric-guitar/1702114895
Fender Stratocaster USA 1997 on an MJT 1 Piece Ash Nitro Body,$795.00,https://www.kijiji.ca/v-guitar/ottawa/fender-stratocaster-usa-1997-on-an-mjt-1-piece-ash-nitro-body/1703720339
Fender Stratocaster electric guitar,$800.00,https://www.kijiji.ca/v-guitar/chatham-kent/fender-stratocaster-electric-guitar/1703367868
PRECISION GUITAR WORX,Please Contact,https://www.kijiji.ca/v-guitar/sudbury/precision-guitar-worx/1660305330
1974 Gibson L5s Custom ,"$8,800.00",https://www.kijiji.ca/v-guitar/london/1974-gibson-l5s-custom/1703274556
Aria Pan P23 Electric Guitar-Estate Sale,$325.00,https://www.kijiji.ca/v-guitar/ottawa/aria-pan-p23-electric-guitar-estate-sale/1703951339
SG Standard '61 Maestro Vibrola - Vintage Cherry,"$2,500.00",https://www.kijiji.ca/v-guitar/owen-sound/sg-standard-61-maestro-vibrola-vintage-cherry/1695869809
Gibson Les Paul Supreme copy,$600.00,https://www.kijiji.ca/v-guitar/sarnia/gibson-les-paul-supreme-copy/1703950387
1989 Gibson Les Paul Standard With Bill Lawrence Pickups Guitar,"$7,000.00",https://www.kijiji.ca/v-guitar/markham-york-region/1989-gibson-les-paul-standard-with-bill-lawrence-pickups-guitar/1689017799
2016 Gibson Les Paul - Limited Iced Tea Burst ,"$3,000.00",https://www.kijiji.ca/v-guitar/city-of-toronto/2016-gibson-les-paul-limited-iced-tea-burst/1685130740
Washburn Acoustic Guitar,$300.00,https://www.kijiji.ca/v-guitar/sarnia/washburn-acoustic-guitar/1703950198
"Seagull Entourage Acoustic Electric Guitar 
",$400.00,https://www.kijiji.ca/v-guitar/city-of-toronto/seagull-entourage-acoustic-electric-guitar/1703950116
Steve’s music ,$20.00,https://www.kijiji.ca/v-guitar/city-of-toronto/steve-s-music/1703950112
2023 Gibson SG 61,"$2,280.00",https://www.kijiji.ca/v-guitar/windsor-area-on/2023-gibson-sg-61/1703931756
EP Les Paul ES PRO,$550.00,https://www.kijiji.ca/v-guitar/london/ep-les-paul-es-pro/1703935183
PRS custom 24,Swap/Trade,https://www.kijiji.ca/v-guitar/st-catharines/prs-custom-24/1703946008
Epiphone Les Paul Studio - Chameleon ,$250.00,https://www.kijiji.ca/v-guitar/oshawa-durham-region/epiphone-les-paul-studio-chameleon/1703942327
"Fender Jazz bass ""Longhorn"" made in the USA in 1992","$1,300.00",https://www.kijiji.ca/v-guitar/mississauga-peel-region/fender-jazz-bass-longhorn-made-in-the-usa-in-1992/1703949563
ENYA NOVA GO CARBON FIBER GUITAR (BLACK),$195.00,https://www.kijiji.ca/v-guitar/kawartha-lakes/enya-nova-go-carbon-fiber-guitar-black/1703949281
Yorkville Guitar Stand,$25.00,https://www.kijiji.ca/v-guitar/ottawa/yorkville-guitar-stand/1666558733
Guitar cable ,$30.00,https://www.kijiji.ca/v-guitar/city-of-toronto/guitar-cable/1703949218
Fender American Professional Stratocaster,"$1,700.00",https://www.kijiji.ca/v-guitar/ottawa/fender-american-professional-stratocaster/1703948962
Gibson guitar ,$850.00,https://www.kijiji.ca/v-guitar/city-of-toronto/gibson-guitar/1703948811
Fender Parts Stratocaster,$800.00,https://www.kijiji.ca/v-guitar/trenton-on/fender-parts-stratocaster/1685960465
FREE SHIPPING! Ukulele Mahogany Finish from $59.00,Please Contact,https://www.kijiji.ca/v-guitar/city-of-toronto/free-shipping-ukulele-mahogany-finish-from-59-00/1703946268
Vantage Electric Guitar,$65.00,https://www.kijiji.ca/v-guitar/mississauga-peel-region/vantage-electric-guitar/1703946229
WASHBURN  AMP $35.,$35.00,https://www.kijiji.ca/v-guitar/windsor-area-on/washburn-amp-35/1703946213
PEAVEY  212 AMP.  $235....obo.,$235.00,https://www.kijiji.ca/v-guitar/windsor-area-on/peavey-212-amp-235-obo/1703945476
Steinberger spirit gt pro deluxe- left handed,$570.00,https://www.kijiji.ca/v-guitar/st-catharines/steinberger-spirit-gt-pro-deluxe-left-handed/1703945046
Bass Player Magazines,$50.00,https://www.kijiji.ca/v-guitar/city-of-toronto/bass-player-magazines/1695993241
Fender Gig Bag Soft Case for  Guitars Black Nylon $20,$20.00,https://www.kijiji.ca/v-guitar/city-of-toronto/fender-gig-bag-soft-case-for-guitars-black-nylon-20/1695992883
Fender Stratocaster Guitar with accesdories,"$2,000.00",https://www.kijiji.ca/v-guitar/belleville/fender-stratocaster-guitar-with-accesdories/1700036029
Dobro/Resonator/Lap Steel Guitar Squareneck,Please Contact,https://www.kijiji.ca/v-guitar/peterborough/dobro-resonator-lap-steel-guitar-squareneck/1703943783
AXL Les Paul Junior-style Guitar,$150.00,https://www.kijiji.ca/v-guitar/st-catharines/axl-les-paul-junior-style-guitar/1703943735
Fender Telecaster with Bigsby,"$1,200.00",https://www.kijiji.ca/v-guitar/city-of-toronto/fender-telecaster-with-bigsby/1694660739
Silvertone 26873 MIJ,$600.00,https://www.kijiji.ca/v-guitar/city-of-toronto/silvertone-26873-mij/1703942784
NEW - Epiphone FT-100 Acoustic Guitar - Vintage Sunburst,$220.00,https://www.kijiji.ca/v-guitar/mississauga-peel-region/new-epiphone-ft-100-acoustic-guitar-vintage-sunburst/1703942537
Schecter Hellraiser Extreme ,"$1,400.00",https://www.kijiji.ca/v-guitar/ottawa/schecter-hellraiser-extreme/1686661893
electric guitar,$275.00,https://www.kijiji.ca/v-guitar/hamilton/electric-guitar/1703942222
1974 Gibson L5s Custom ,"$8,800.00",https://www.kijiji.ca/v-guitar/london/1974-gibson-l5s-custom/1703274556
PRECISION GUITAR WORX,Please Contact,https://www.kijiji.ca/v-guitar/sudbury/precision-guitar-worx/1660305330
Epiphone Riviera Electric Guitar,$699.00,https://www.kijiji.ca/v-guitar/ottawa/epiphone-riviera-electric-guitar/1702114895
"DIY Guitar Kits, The largest selection of Do it Yourself Guitars",Please Contact,https://www.kijiji.ca/v-guitar/markham-york-region/diy-guitar-kits-the-largest-selection-of-do-it-yourself-guitars/1483566448
Fender Stratocaster electric guitar,$800.00,https://www.kijiji.ca/v-guitar/chatham-kent/fender-stratocaster-electric-guitar/1703367868
Fender Stratocaster USA 1997 on an MJT 1 Piece Ash Nitro Body,$795.00,https://www.kijiji.ca/v-guitar/ottawa/fender-stratocaster-usa-1997-on-an-mjt-1-piece-ash-nitro-body/1703720339
GWL ACOUSTIC GUITAR PACK,$130.00,https://www.kijiji.ca/v-guitar/mississauga-peel-region/gwl-acoustic-guitar-pack/1646394734
Donner Full Size Acoustic Guitar for Adult Beginners - 41'' Cuta,$189.00,https://www.kijiji.ca/v-guitar/hamilton/donner-full-size-acoustic-guitar-for-adult-beginners-41-cuta/1689614409
41 inch Left Handed Acoustic Electric Guitar Kit Full Size Cutaw,$130.00,https://www.kijiji.ca/v-guitar/hamilton/41-inch-left-handed-acoustic-electric-guitar-kit-full-size-cutaw/1689614689
Rosefinch Classical Guitar Acoustic Guitar 4/4 Full Size 39 inch,$90.00,https://www.kijiji.ca/v-guitar/hamilton/rosefinch-classical-guitar-acoustic-guitar-4-4-full-size-39-inch/1694752575
Acoustic Martin Guitar,"$1,500.00",https://www.kijiji.ca/v-guitar/kenora/acoustic-martin-guitar/1703940044
Left Handed Squier Affinity Telecaster Guitar,$275.00,https://www.kijiji.ca/v-guitar/st-catharines/left-handed-squier-affinity-telecaster-guitar/1700109922
Acoustic Guitar with Built In Electric Tuner,$170.00,https://www.kijiji.ca/v-guitar/brockville/acoustic-guitar-with-built-in-electric-tuner/1703939363
LTD Phoenix 200 Electric Guitar,$800.00,https://www.kijiji.ca/v-guitar/oakville-halton-region/ltd-phoenix-200-electric-guitar/1584338407
"Gibson SG Tribute, Vintage Cherry Satin","$1,000.00",https://www.kijiji.ca/v-guitar/kitchener-waterloo/gibson-sg-tribute-vintage-cherry-satin/1701190738
"Gibson SG Tribute, Vintage Cherry Satin","$1,000.00",https://www.kijiji.ca/v-guitar/kitchener-waterloo/gibson-sg-tribute-vintage-cherry-satin/1703936319
1990's Fender  Korean Squire Stratocaster Signed by Jeff Healey,$300.00,https://www.kijiji.ca/v-guitar/barrie/1990s-fender-korean-squire-stratocaster-signed-by-jeff-healey/1703939060
Robson Electric Guitar,$50.00,https://www.kijiji.ca/v-guitar/oakville-halton-region/robson-electric-guitar/1703938680
Fender Classic Player Stratocaster 50’s,$900.00,https://www.kijiji.ca/v-guitar/london/fender-classic-player-stratocaster-50-s/1703937821
5 string harley benton acoustic bass guitar,$250.00,https://www.kijiji.ca/v-guitar/windsor-area-on/5-string-harley-benton-acoustic-bass-guitar/1703937696
Strat SSS Maple Neck Rosewood Fingerboard Electric Guitar Wood,$200.00,https://www.kijiji.ca/v-guitar/city-of-toronto/strat-sss-maple-neck-rosewood-fingerboard-electric-guitar-wood/1700114168
Strat SSS Maple Neck Rosewood Fingerboard Electric Guitar SB,$200.00,https://www.kijiji.ca/v-guitar/markham-york-region/strat-sss-maple-neck-rosewood-fingerboard-electric-guitar-sb/1700114054
Strat SSS Maple Neck Rosewood Fingerboard Electric Guitar Black,$200.00,https://www.kijiji.ca/v-guitar/markham-york-region/strat-sss-maple-neck-rosewood-fingerboard-electric-guitar-black/1700113957
Sire R3 DZ NT Acoustic Electric Guitar,$300.00,https://www.kijiji.ca/v-guitar/mississauga-peel-region/sire-r3-dz-nt-acoustic-electric-guitar/1678300694
